Manufacturer,Model,Description,Gearbox,Imperial combined (float),Fuel type,CO2 (float),Tax band
AUDI,A5 Sportback,1.8 TFSI 177PS Stop-Start 18'' wheels,M6,46.3,Petrol,141,F
AUDI,A5 Sportback,3.0 V6 TDI quattro 245PS 7speed S tronic Stop-Start 18'' wheels,QD7,46.3,Diesel,159,G
AUDI,A6 Saloon,3.0 V6 BiTDI quattro 320PS 8speed Tiptronic 19'' wheels,QA8,46.3,Diesel,161,G
AUDI,New A3 Cabriolet,2.0 TFSI quattro 190PS 7speed S tronic 17'' wheels,QD7,46.3,Petrol,139,E
AUDI,New A3 Cabriolet,2.0 TFSI 190PS 7speed S tronic 19'' wheels,D7,46.3,Petrol,138,E
AUDI,New A4 Avant,2.0 TFSI quattro 252PS 7speed S-tronic 17'' wheels,QD7,46.3,Petrol,139,E
AUDI,New A4 Avant,2.0 TFSI 190PS 19'' wheels,M6,46.3,Petrol,139,E
AUDI,New A6 Saloon,3.0 BiTDI quattro V6 320PS 8-speed Tiptronic 19'' wheels,QA8,46.3,Diesel,161,G
AUDI,Q5,3.0 TDI V6 quattro 258PS 7speed S-tronic Stop-Start 19'' wheels,QD7,46.3,Diesel,161,G
AUDI,TT Coupé,2.0 TFSI 230PS,M6,46.3,Petrol,141,F
AUDI,TT Roadster,1.8 TFSI 180PS Stop-Start,M6,46.3,Petrol,142,F
BMW,"1 Series 3-door F21, From July 2016",120i - 18'' tyres,M6,46.3,Petrol,140,E
BMW,"1 Series 5-door F20, From July 2016",120i - 18'' tyres,M6,46.3,Petrol,140,E
BMW,"2 Series Active Tourer F45, From September 2014",220i Active Tourer - 18'' tyres,M6,46.3,Petrol,142,F
BMW,"2 Series Convertible F23, From July 2016",220i - 17'' tyres,A8,46.3,Petrol,138,E
BMW,"2 Series Convertible F23, From July 2016",220i - 18'' tyres,A8,46.3,Petrol,140,E
BMW,"2 Series Coupé F22, From July 2016",220i - 18'' tyres,M6,46.3,Petrol,140,E
BMW,"2 Series Gran Tourer F46, From June 2015",220i Gran Tourer - 18'' tyres,A8,46.3,Petrol,142,F
BMW,"3 Series Gran Turismo F34, From July 2016",320i - 19'' tyres,A8,46.3,Petrol,139,E
BMW,"3 Series Saloon F30, From February 2012",320i xDrive Saloon - 18'' & 19'' tyres,A8,46.3,Petrol,142,F
BMW,"3 Series Touring F31, from September 2012",320i Touring - 16'' & 17'' tyres,M6,46.3,Petrol,141,F
BMW,"3 Series Touring F31, from September 2012",330i Touring - 18'' & 19'' tyres,A8,46.3,Petrol,143,F
BMW,"4 Series Coupé F32, From October 2013",420i Coupé - 17'' tyres,M6,46.3,Petrol,144,F
BMW,"4 Series Coupé F32, From October 2013",420i Coupé - 18'' & 19'' tyres,A8,46.3,Petrol,141,F
BMW,"4 Series Coupé F32, From March 2016",420i Coupé - 18'' & 19'' tyres,M6,46.3,Petrol,141,F
BMW,"4 Series Gran Coupé F36, From June 2014",420i Gran Coupé - 17'' tyres,A8,46.3,Petrol,142,F
AUDI,Q5,2.0 TFSI quattro 230PS Tiptronic Stop-Start 19'' wheels,QA8,38.2,Petrol,172,H
BMW,"2 Series Convertible F23, From July 2016",M240i - 18'' tyres,A8,38.2,Petrol,169,H
BMW,"4 Series Coupé F32, From October 2013",435i Coupé - 18'' & 19'' tyres,A8,38.2,Petrol,172,H
FIAT,"Doblo, 2015 onwards",1.4 16v 95 bhp High Roof ,M5,38.2,Petrol,171,H
FORD,"All New Mondeo , Model Year Post 2017",2.0 EcoBoost SCTi fitted with Optional 18'' and 19'' Alloy Wheels (240PS) - Hatchback,A6,38.2,Petrol,171,H
FORD,"All New Mondeo , Model Year Pre 2017",2.0 EcoBoost SCTi fitted with Optional 18'' and 19'' Alloy Wheels (240PS) - Hatchback,A6,38.2,Petrol,171,H
FORD,"Kuga, Model Year Post 2017",1.5 EcoBoost (182PS),A6-AWD,38.2,Petrol,171,H
FORD,"Kuga , Model Year Pre 2017",1.5 EcoBoost (182PS),A6-AWD,38.2,Petrol,171,H
FORD,"Kuga Vignale, Model Year Post 2017",1.5 EcoBoost (182PS),A6-AWD,38.2,Petrol,171,H
FORD,"Mondeo Vignale, Model Year Post 2016¾",2.0 EcoBoost SCTi (240PS) - Hatchback,A6,38.2,Petrol,171,H
FORD,"Mondeo Vignale, Model Year Pre 2016¾",2.0 EcoBoost SCTi (240PS) - Hatchback,A6,38.2,Petrol,171,H
HONDA,"CR-V, Model Year 2015","2.0 i-VTEC 4WD SE, SE Navi",M6,38.2,Petrol,173,H
KIA,cee'd,'GT' 1.6 T-GDi 201bhp,M6,38.2,Petrol,170,H
KIA,pro_cee'd,'GT' 1.6 T-GDi 201bhp,M6,38.2,Petrol,170,H
MERCEDES-BENZ,"GLA Class, Model Year 2016",AMG GLA 45 4MATIC with 19'' rear wheels,A7,38.2,Petrol,172,H
MERCEDES-BENZ,"GLA Class, Model Year 2016",AMG GLA 45 4MATIC with 20'' rear wheels,A7,38.2,Petrol,172,H
MERCEDES-BENZ,"GLA Class, Model Year 2017",AMG GLA 45 4MATIC with 19'' rear wheels,A7,38.2,Petrol,172,H
MERCEDES-BENZ,"GLA Class, Model Year 2017",AMG GLA 45 4MATIC with 20'' rear wheels,A7,38.2,Petrol,172,H
PORSCHE,718,Cayman,M7,38.2,Petrol,168,H
PORSCHE,718,Boxster,M7,38.2,Petrol,168,H
PORSCHE,911 (991 II),Carrera Coupé PDK,A7,38.2,Petrol,169,H
TOYOTA,"Land Cruiser, MY2016",5 door 2.8 D-4D 6-speed Manual,6MT,38.2,Diesel,194,J
TOYOTA,"Land Cruiser, MY2016",5 door 2.8 D-4D Auto,6AT,38.2,Diesel,194,J
VAUXHALL,"Astra 5 Door Sports Tourer, Model Year 2015","1.6i 115PS SRi 16v VVT with 16'', 17'' & 18'' wheels",A6,38.2,Petrol,174,H
VAUXHALL,"Insignia 5 Door Sports Tourer, Model Year 2016","2.0i 250PS SRi VX-Line NAV Turbo Stop/Start with 17'', 18'', 19'' and 20'' wheels",M6,38.2,Petrol,174,H
VOLKSWAGEN,New Tiguan,2.0 TSI 180PS 4MOTION 7speed DSG Stop-Start SEL,QD7,38.2,Petrol,170,H
VOLKSWAGEN,New Tiguan,2.0 TSI 180PS 4MOTION 7speed DSG Stop-Start R-Line,QD7,38.2,Petrol,170,H
SSANGYONG,Rexton W,EX 2.2D A/T ,AT,38,Diesel,194,J
SSANGYONG,Rexton W,ELX 2.2D,AT,38,Diesel,194,J
SSANGYONG,Rexton W,EX 2.2D A/T ,A7,38,Diesel,194,J
SSANGYONG,Rexton W,ELX 2.2D,A7,38,Diesel,194,J
SSANGYONG,Rexton W,SE 2.2D A/T,AT,38,Diesel,194,J
SSANGYONG,Turismo,EX 2.2D 178ps,6AT,38,Diesel,196,J
AUDI,A8,4.2 TDI V8 quattro 385PS SWB Stop-Start 8speed Tiptronic 21'' wheels,QA8,37.7,Diesel,196,J
AUDI,New A4 Avant,S4 3.0 TFSI quattro V6 354PS 8-speed Tiptronic 18'' wheels,QA8,37.7,Petrol,171,H
AUDI,New A4 Saloon,S4 3.0 TFSI quattro V6 354PS 8-speed Tiptronic 19'' wheels,QA8,37.7,Petrol,170,H
AUDI,Q5,2.0 TFSI quattro 230PS Tiptronic Stop-Start 20'' wheels,QA8,37.7,Petrol,174,H
AUDI,TT Roadster,2.0 TTS quattro 310PS,QM6,37.7,Petrol,173,H
BMW,"1 Series 3-door F21, From September 2012",M135i 18'' tyres,A8,37.7,Petrol,175,H
BMW,"1 Series 5-door F20, From September 2011",M135i 18'' tyres,A8,37.7,Petrol,175,H
